,ID,Color,Amplitude
1058,1144506,i,1.274
1059,1144541,z,0.8465
1060,1144760,z,2.8275
1061,1144985,z,2.516
1062,114499,z,1.476
1063,114502,z,0.6095
1064,1145038,i,2.267
1065,1145082,z,2.98
1066,1145090,z,2.0545
1067,1145121,z,0.5325
1068,1145440,z,1.859
1069,1145493,z,2.115
1070,1145499,z,2.7945
1071,1145602,z,2.699
1072,1145688,z,2.2425
1073,1145779,i,0.819
1074,1145822,z,0.8565
1075,1145910,z,0.7385
1076,1145956,z,1.281
1077,1146314,i,0.8645
1078,1146639,z,0.9555
1079,1146714,z,2.296
1080,1146904,z,1.302
1081,1146919,z,2.5285
1082,1147164,z,1.14
1083,114724,z,0.64
1084,1147358,z,3.4475
1085,114767,i,0.488
1086,1147886,z,2.5305
1087,1148057,z,2.962
1088,1148077,z,1.263
1089,1148156,z,2.0115
1090,1148219,z,2.288
1091,1148436,z,0.6335
1092,114856,z,1.817
1093,1148567,z,2.794
1094,1148766,z,3.5155
1095,114880,z,2.1655
1096,1148899,z,1.927
1097,1149037,z,2.374
1098,1149055,z,1.38
1099,1149062,z,2.0055
1100,1149321,z,1.039
1101,1149344,z,1.047
1102,1149350,z,1.679
1103,1149539,z,2.8375
1104,114967,z,0.707
1105,1149988,z,0.867
1106,1150047,z,1.978
1107,1150150,z,3.8695
1108,115016,z,1.321
1109,1150291,i,0.497
1110,1150298,z,2.195
